Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Simisear,64.9,514,fire,none,136.6,94.5,126,1627774,23.5,Fire Spin,Crunch,Flamethrower,5,6,3,50000
Exeggcute,64.6,102,grass,psychic,102.5,117.6,142,1712557,50,Bullet Seed,Seed Bomb,Psychic,4,5,3,50000
Ursaluna,64.6,901,ground,normal,126.2,97.2,145,1777377,14.5,Tackle,Thunder Punch,High Horsepower,14,20,3,50000
Weezing (Shadow),64.6,110,poison,none,117,138.9,117,1901382,24.5,Infestation,Sludge Bomb,Shadow Ball,5,5,3,50000
Delphox,64.5,655,fire,psychic,132.6,115.6,109,1671331,18,Fire Spin,Flame Charge,Psychic,5,6,3,10000
Dugtrio (Shadow),64.5,51,ground,none,136.4,120.5,99,1627049,41.5,Sucker Punch,Mud Bomb,Stone Edge,6,8,3,50000
Sawk,64.5,539,fighting,none,141,99.8,113,1589415,20,Poison Jab,Body Slam,Focus Blast,5,11,5,75000
Bulbasaur,64.3,1,grass,poison,111.8,105.9,120,1419947,50,Vine Whip,Power Whip,Seed Bomb,7,5,3,10000
Illumise,64.3,314,bug,none,111.1,136.8,132,2005636,34,Tackle,Silver Wind,Bug Buzz,15,20,3,50000
Meowstic (Female),64.3,678,psychic,none,117.6,124.5,130,1902817,26.5,Confusion,Psychic,Shadow Ball,5,5,3,50000
Boldore,64.2,525,rock,none,126.5,108.2,130,1779034,28,Smack Down,Rock Slide,Bulldoze,6,8,3,50000
Mienshao,64.2,620,fighting,none,156.5,84.8,106,1407427,20,Poison Jab,Brick Break,Grass Knot,5,8,3,50000
Misdreavus,64.1,200,ghost,none,124.1,119,122,1801213,29.5,Hex,Dark Pulse,Shadow Sneak,5,4,3,50000
Yanmega,64.1,469,bug,flying,137.3,98.3,121,1632541,18.5,Wing Attack,Aerial Ace,Ancient Power,7,7,3,50000
Oricorio (Sensu),64,741,ghost,flying,130.9,101.4,128,1699439,24,Air Slash,Aerial Ace,Hurricane,5,8,3,75000
Aipom (Shadow),63.9,190,normal,none,126.1,105.2,134,1778842,49,Scratch,Aerial Ace,Low Sweep,23,20,3,50000
Chespin,63.9,650,grass,none,105,101.7,136,1452456,50,Vine Whip,Body Slam,Seed Bomb,5,5,3,10000
Lunatone,63.9,337,rock,psychic,119.8,108.8,143,1863825,23.5,Confusion,Rock Slide,Psychic,4,5,3,50000
Rhyhorn,63.9,111,ground,rock,113.4,110.2,158,1974352,38.5,Mud Slap,Stomp,Bulldoze,5,8,3,50000
Solrock,63.9,338,rock,psychic,119.8,108.8,143,1863825,23.5,Confusion,Rock Slide,Psychic,4,5,3,50000
Tyranitar,63.9,248,rock,dark,130.2,109.4,121,1723417,14.5,Smack Down,Crunch,Stone Edge,6,7,5,75000
Hippopotas (Shadow),63.8,449,ground,none,115.3,111.1,152,1946522,49,Tackle,Body Slam,Rock Tomb,12,20,3,50000
Raticate (Shadow),63.8,20,normal,none,125.9,115.3,122,1771626,34.5,Quick Attack,Hyper Fang,Dig,7,10,1,10000
Heliolisk,63.7,695,electric,normal,137.1,112,105,1612926,21,Volt Switch,Thunderbolt,Grass Knot,4,4,3,50000
Meowstic (Male),63.7,678,psychic,none,117.6,124.5,130,1902817,26.5,Confusion,Psychic,Energy Ball,5,5,3,50000
Mr. Mime (Galarian),63.7,122,ice,psychic,131.2,127.7,102,1709143,27,Confusion,Ice Punch,Psychic,4,5,5,75000
Pancham,63.7,674,fighting,none,123.3,100.2,147,1816117,47.5,Tackle,Body Slam,Crunch,12,15,3,50000
Chinchou,63.5,170,water,electric,101.7,94.1,164,1569336,50,Spark,Thunderbolt,Bubble Beam,7,5,3,50000
Darmanitan (Galarian),63.4,555,ice,none,151.3,71.4,137,1480445,18,Ice Fang,Avalanche,Superpower,9,8,3,50000
Weezing,63.2,110,poison,none,117,138.9,117,1901382,24.5,Infestation,Sludge Bomb,Shadow Ball,5,5,3,50000
Buneary,63.1,427,normal,none,121.8,100.8,135,1658639,50,Quick Attack,Fire Punch,Swift,5,7,3,50000
Kabuto,63.1,140,rock,water,133.6,128.6,97,1667621,49,Mud Shot,Ancient Power,Aqua Jet,5,5,5,75000
Liepard,63.1,510,dark,none,140.9,89.3,126,1585005,31,Snarl,Dark Pulse,Play Rough,4,5,1,10000
Tauros,63.1,128,normal,none,125.1,118.9,120,1785591,21.5,Tackle,Horn Attack,Earthquake,12,22,3,50000
Deerling,62.9,585,normal,grass,109.2,96.6,142,1498988,50,Tackle,Wild Charge,Seed Bomb,15,14,3,50000
Loudred (Shadow),62.9,294,normal,none,125.2,80.7,178,1797820,50,Bite,Stomp,Disarming Voice,20,23,1,10000
Lampent,62.8,608,ghost,fire,133.3,97.1,130,1681422,36.5,Ember,Energy Ball,Flame Burst,10,10,5,75000
Dodrio,62.7,85,normal,flying,144.4,99.1,108,1545284,23.5,Feint Attack,Brave Bird,Drill Peck,10,7,3,50000
Geodude,62.7,74,rock,ground,123.5,123.5,113,1724177,50,Rock Throw,Rock Slide,Return,9,14,1,10000
Ursaluna (Shadow),62.6,901,ground,normal,126.2,97.2,145,1777377,14.5,Tackle,Thunder Punch,High Horsepower,14,20,3,50000
Houndour (Shadow),62.5,228,dark,fire,140.3,82.3,120,1386732,50,Ember,Crunch,Flamethrower,8,10,3,50000
Phanpy,62.5,231,ground,none,102.5,95,186,1810589,50,Tackle,Body Slam,Rock Slide,12,15,3,50000
Stunky,62.5,434,poison,dark,114.3,88.2,147,1482226,50,Bite,Crunch,Sludge Bomb,23,25,3,50000
Bergmite,62.4,712,ice,none,110.9,113.4,135,1698675,50,Tackle,Icy Wind,Crunch,15,15,3,50000
Mismagius (Shadow),62.4,429,ghost,none,133.8,120.8,104,1680621,21.5,Hex,Shadow Ball,Dark Pulse,5,5,3,50000
Oricorio (Pom-Pom),62.4,741,electric,flying,130.9,101.4,128,1699439,24,Air Slash,Aerial Ace,Hurricane,5,8,3,75000
Persian (Shadow),62.4,53,normal,none,118.9,115.9,136,1874511,36,Feint Attack,Night Slash,Play Rough,6,10,3,50000
Roggenrola,62.3,524,rock,none,114.3,105,135,1620509,50,Smack Down,Stone Edge,Rock Blast,7,5,3,50000
Braviary,62.2,628,normal,flying,134.3,94.1,132,1668093,18,Air Slash,Brave Bird,Close Combat,7,5,5,75000
Elekid,62.2,239,electric,none,126,97.5,120,1474345,50,Thunder Shock,Thunder Punch,Brick Break,5,4,5,10000
Roselia,62.1,315,grass,poison,139.6,107.3,107,1602355,30.5,Poison Jab,Sludge Bomb,Petal Blizzard,8,10,3,50000
Salamence,62.1,373,dragon,flying,142.9,92.6,117,1548425,14.5,Dragon Tail,Outrage,Hydro Pump,7,9,5,75000
Exploud (Shadow),62,295,normal,none,119.8,98.4,158,1863205,23.5,Bite,Crunch,Disarming Voice,23,23,1,10000
Octillery,61.9,224,water,none,132.9,103.2,123,1686230,24.5,Lock On,Octazooka,Gunk Shot,10,15,1,10000
Persian,61.7,53,normal,none,118.9,115.9,136,1874511,36,Feint Attack,Night Slash,Return,6,12,3,50000
Slowking (Galarian),61.7,199,poison,psychic,117.9,115.5,139,1893827,20.5,Hex,Shadow Ball,Sludge Wave,5,6,3,50000
Skorupi (Shadow),61.6,451,poison,bug,90.8,139.5,113,1430471,50,Poison Sting,Cross Poison,Aqua Tail,4,4,5,75000
Ambipom (Shadow),61.5,424,normal,none,133.9,99.9,124,1659351,23,Scratch,Aerial Ace,Low Sweep,23,20,3,50000
Trapinch (Shadow),61.5,328,ground,none,148.7,78.1,120,1394782,50,Mud Shot,Crunch,Sand Tomb,5,5,5,75000
Trumbeak,61.5,732,normal,flying,134.9,95.2,129,1657028,47.5,Peck,Drill Peck,Rock Blast,8,8,1,10000
Krokorok,61.4,552,ground,dark,133.6,87.4,142,1658012,50,Mud Slap,Crunch,Earthquake,6,9,5,75000
Porygon (Shadow),61.4,137,normal,none,120.8,114.7,134,1856061,35.5,Tackle,Discharge,Signal Beam,15,19,3,50000
Eevee,61.3,133,normal,none,100,108.4,135,1463320,50,Quick Attack,Body Slam,Last Resort,5,7,5,75000
Houndour,61.3,228,dark,fire,140.3,82.3,120,1386732,50,Ember,Crunch,Flamethrower,8,10,3,50000
Mr. Mime,61.3,122,psychic,fairy,132.2,145.7,88,1695360,25.5,Confusion,Psychic,Shadow Ball,5,5,5,75000
Arbok,61.1,24,poison,none,123.7,120.1,121,1798747,29,Dragon Tail,Dark Pulse,Sludge Wave,6,8,3,50000
Exploud,61.1,295,normal,none,119.8,98.4,158,1863205,23.5,Bite,Crunch,Disarming Voice,23,23,1,10000
Golem (Shadow),61.1,76,rock,ground,125.2,121.7,117,1782513,19,Mud Slap,Earthquake,Stone Edge,9,7,1,10000
Maractus,61.1,556,grass,none,136.8,93.6,128,1638424,24,Bullet Seed,Aerial Ace,Petal Blizzard,4,5,1,10000
Fearow,61,22,normal,flying,132.6,102.7,124,1689204,28.5,Peck,Sky Attack,Drill Run,9,9,1,10000
Loudred,61,294,normal,none,125.2,80.7,178,1797820,50,Bite,Stomp,Disarming Voice,20,23,1,10000
Pidgeotto,61,17,normal,flying,110.9,100.8,147,1644149,50,Wing Attack,Aerial Ace,Twister,7,7,1,10000
Starmie,61,121,water,psychic,132.2,121.8,104,1675198,21,Quick Attack,Psychic,Ice Beam,7,7,3,50000
Xatu (Shadow),61,178,psychic,flying,132.9,107.3,118,1681956,25.5,Air Slash,Aerial Ace,Future Sight,5,8,3,50000
Oricorio (Baile),60.9,741,fire,flying,130.9,101.4,128,1699439,24,Air Slash,Aerial Ace,Hurricane,5,8,3,75000
Popplio,60.9,728,water,none,113.4,99.2,127,1428526,50,Water Gun,Aqua Tail,Aqua Jet,12,15,3,10000
Flaaffy,60.8,180,electric,none,121.9,99.8,151,1835783,45.5,Tackle,Discharge,Return,15,24,5,75000
Flaaffy (Shadow),60.8,180,electric,none,121.9,99.8,151,1835783,45.5,Tackle,Discharge,Power Gem,15,20,5,75000
Rotom (Mow),60.8,479,electric,grass,129.2,143.2,93,1720709,21,Thunder Shock,Thunderbolt,Ominous Wind,7,5,5,75000
Absol,60.7,359,dark,none,157.9,82.7,109,1423430,22,Snarl,Dark Pulse,Megahorn,4,5,5,75000
Rowlet,60.7,722,grass,flying,98.3,95.8,154,1450375,50,Razor Leaf,Seed Bomb,Energy Ball,10,14,3,10000
Swanna (Shadow),60.7,581,water,flying,129.3,99.7,134,1727466,26.5,Water Gun,Hurricane,Ice Beam,22,19,3,50000
Arbok (Shadow),60.6,24,poison,none,123.7,120.1,121,1798747,29,Dragon Tail,Dark Pulse,Sludge Wave,6,8,3,50000
Grumpig,60.6,326,psychic,none,114.5,128.3,133,1953798,24,Extrasensory,Psychic,Shadow Ball,6,6,1,10000
Blissey,60.5,242,normal,none,81.4,110.2,307,2754156,21,Zen Headbutt,Psychic,Hyper Beam,10,14,5,75000
Whirlipede,60.5,544,bug,poison,96.6,158,113,1725055,50,Poison Sting,Sludge Bomb,Signal Beam,6,7,1,10000
Drilbur,60.4,529,ground,none,139.5,81.9,141,1610077,49,Mud Slap,Drill Run,Rock Tomb,6,8,3,50000
Skorupi,60.4,451,poison,bug,90.8,139.5,113,1430471,50,Poison Sting,Cross Poison,Aqua Tail,4,4,5,75000
Lycanroc (Midday),60.3,745,rock,none,144.6,92,117,1556153,20,Sucker Punch,Drill Run,Stone Edge,7,8,5,50000
Rampardos,60.2,409,rock,none,164.6,66.3,125,1363142,16,Smack Down,Rock Slide,Flamethrower,6,7,5,75000
Watchog (Shadow),60.2,505,normal,none,126.4,113.2,124,1773125,30.5,Bite,Crunch,Grass Knot,23,25,1,10000
Volbeat,60.1,313,bug,none,111.1,136.8,132,2005636,34,Tackle,Bug Buzz,Thunderbolt,20,19,3,50000
Beheeyem,60,606,psychic,none,134.4,105.7,116,1648710,20,Confusion,Rock Slide,Psychic,4,5,3,50000
Mankey,59.9,56,fighting,none,137,81.5,113,1261556,50,Karate Chop,Cross Chop,Brick Break,5,5,3,50000
Shellos,59.9,422,water,none,99.2,100.8,166,1659740,50,Mud Slap,Body Slam,Mud Bomb,5,5,3,50000
Floatzel,59.8,419,water,none,143.8,81.1,133,1551619,22.5,Waterfall,Hydro Pump,Aqua Jet,10,6,3,50000
Absol (Shadow),59.7,359,dark,none,157.9,82.7,109,1423430,22,Snarl,Dark Pulse,Megahorn,4,5,5,75000
Mothim,59.5,414,bug,flying,140,83,137,1591422,31.5,Air Slash,Aerial Ace,Bug Buzz,5,7,1,10000
Nosepass,59.3,299,rock,none,81.5,193.3,98,1543812,50,Rock Throw,Rock Slide,Rock Blast,9,8,3,50000
Oricorio (Pa'u),59.3,741,psychic,flying,130.9,101.4,128,1699439,24,Air Slash,Aerial Ace,Hurricane,5,8,3,75000
Snubbull (Shadow),59.3,209,fairy,none,127.7,84,142,1524055,50,Tackle,Crunch,Brick Break,15,12,3,50000
Pupitar (Shadow),59.2,247,rock,ground,121.1,112.7,136,1856138,35,Bite,Ancient Power,Crunch,23,23,5,75000
Jynx,59.1,124,ice,psychic,142.2,101.5,109,1573630,22,Confusion,Avalanche,Ice Punch,4,4,5,75000
Porygon-Z,59.1,474,normal,none,148.7,88.4,115,1512352,16.5,Lock On,Tri Attack,Zap Cannon,10,16,3,50000
Beautifly,59,267,bug,flying,146.4,81.9,128,1535506,34.5,Infestation,Silver Wind,Bug Buzz,4,5,1,10000
Sawsbuck,59,586,normal,grass,130.1,103.1,128,1717029,23,Feint Attack,Wild Charge,Megahorn,8,10,3,50000
Sigilyph,59,561,psychic,flying,131.6,114,114,1710530,22,Air Slash,Ancient Power,Signal Beam,5,7,5,75000
Shiinotic,58.9,756,grass,fairy,116.8,132.3,124,1915843,30.5,Astonish,Seed Bomb,Moonblast,5,7,3,50000
Porygon-Z (Shadow),58.6,474,normal,none,148.7,88.4,115,1512352,16.5,Lock On,Tri Attack,Zap Cannon,10,16,3,50000
Watchog,58.5,505,normal,none,126.4,113.2,124,1773125,30.5,Bite,Crunch,Grass Knot,23,25,1,10000
Xatu,58.5,178,psychic,flying,132.9,107.3,118,1681956,25.5,Air Slash,Aerial Ace,Future Sight,5,8,3,50000
Elgyem,58.2,605,psychic,none,134,94.7,132,1675163,49.5,Confusion,Psychic,Dark Pulse,5,5,3,50000
Trapinch,58.2,328,ground,none,148.7,78.1,120,1394782,50,Mud Shot,Crunch,Sand Tomb,5,5,5,75000
Hoopa,58.1,720,psychic,ghost,144.8,106.3,99,1524461,16,Confusion,Shadow Ball,Psychic,5,5,20,100000
Goldeen,57.9,118,water,none,116,105,120,1461636,50,Mud Shot,Aqua Tail,Horn Attack,4,4,3,50000
Aipom,57.7,190,normal,none,126.1,105.2,134,1778842,49,Scratch,Aerial Ace,Return,23,35,3,50000
Herdier,57.6,507,normal,none,119.7,110.9,141,1871188,41.5,Lick,Thunderbolt,Play Rough,19,20,1,10000
Snubbull,57.6,209,fairy,none,127.7,84,142,1524055,50,Tackle,Crunch,Brick Break,15,12,3,50000
Cubone (Shadow),57.5,104,ground,none,88.2,133.6,127,1497128,50,Mud Slap,Bone Club,Bulldoze,5,8,3,50000
Drowzee (Shadow),57.5,96,psychic,none,87.4,126.9,142,1574590,50,Confusion,Psyshock,Psychic,4,5,3,50000
Drowzee,57.4,96,psychic,none,87.4,126.9,142,1574590,50,Confusion,Psyshock,Return,4,6,3,50000
Mesprit,57.4,481,psychic,none,124.1,125.8,116,1811528,18,Confusion,Future Sight,Blizzard,6,7,20,100000
Seadra (Shadow),57.4,117,water,none,132.6,114.5,111,1685540,27,Dragon Breath,Hydro Pump,Blizzard,25,25,3,50000
Cacturne,57.3,332,grass,dark,148.9,83.5,121,1505536,23.5,Sucker Punch,Grass Knot,Payback,8,9,3,50000
Piplup,57.1,393,water,none,106.7,98.3,131,1374452,50,Bubble,Drill Peck,Icy Wind,4,5,3,10000
Chatot,57,441,normal,flying,140.4,78.4,145,1596254,32.5,Peck,Sky Attack,Night Shade,9,11,5,75000
Totodile (Shadow),56.7,158,water,none,110.9,104.2,127,1467804,50,Water Gun,Crunch,Aqua Jet,15,15,3,10000
Gumshoos,56.6,735,normal,none,134.9,85.7,144,1664430,25.5,Bite,Crunch,Hyper Fang,23,25,1,10000
Clawitzer,56.5,693,water,none,134.4,110.5,111,1648951,20,Water Gun,Crabhammer,Ice Beam,17,19,3,50000
Pineco (Shadow),56.4,204,bug,none,103.4,115.1,127,1511117,50,Bug Bite,Rock Tomb,Sand Tomb,20,14,5,75000
Pupitar,56.2,247,rock,ground,121.1,112.7,136,1856138,35,Bite,Ancient Power,Crunch,23,23,5,75000
Ambipom,55.9,424,normal,none,133.9,99.9,124,1659351,23,Scratch,Aerial Ace,Return,23,35,3,50000
Cubone,55.7,104,ground,none,88.2,133.6,127,1497128,50,Mud Slap,Bone Club,Return,5,9,3,50000
Nosepass (Shadow),55.7,299,rock,none,81.5,193.3,98,1543812,50,Spark,Rock Slide,Rock Blast,6,5,3,50000
Clauncher,55.6,692,water,none,103.4,110.9,127,1455967,50,Water Gun,Crabhammer,Aqua Jet,17,15,3,50000
Totodile,55.2,158,water,none,110.9,104.2,127,1467804,50,Water Gun,Crunch,Aqua Jet,15,15,3,10000
Vanilluxe,55.2,584,ice,none,131.5,116.8,110,1690058,19.5,Frost Breath,Blizzard,Signal Beam,15,11,3,50000
Noivern,55,715,flying,dragon,126.4,110.7,127,1776882,20.5,Air Slash,Hurricane,Psychic,8,7,5,75000
Musharna,54.7,518,psychic,none,113.7,108.9,159,1968272,20.5,Charge Beam,Psyshock,Dazzling Gleam,5,7,3,50000
Flabebe,54.4,669,fairy,none,103.4,113.4,119,1395258,50,Vine Whip,Psychic,Dazzling Gleam,7,9,3,50000
Koffing,54.3,109,poison,none,112.6,131.1,113,1667925,50,Infestation,Dark Pulse,Sludge Bomb,5,5,3,50000
Swanna,54.2,581,water,flying,129.3,99.7,134,1727466,26.5,Air Slash,Hurricane,Ice Beam,8,7,3,50000
Swirlix,54.2,684,fairy,none,104.2,112.6,145,1701231,50,Tackle,Energy Ball,Draining Kiss,19,19,3,50000
Cacturne (Shadow),54.1,332,grass,dark,148.9,83.5,121,1505536,23.5,Sucker Punch,Grass Knot,Dark Pulse,8,8,3,50000
Azelf,53.9,482,psychic,none,152.6,91.4,105,1464716,17,Confusion,Future Sight,Fire Blast,6,7,20,100000
Butterfree,53.6,12,bug,flying,126.7,111.9,124,1757032,31.5,Confusion,Bug Buzz,Psychic,5,5,1,10000
Koffing (Shadow),53.6,109,poison,none,112.6,131.1,113,1667925,50,Infestation,Dark Pulse,Sludge Bomb,5,5,3,50000
Gorebyss,53.4,368,water,none,136.9,118.5,101,1638002,22.5,Water Gun,Psychic,Water Pulse,19,20,3,50000
Krabby,53.2,98,water,none,148.1,110.4,92,1504334,42,Bubble,Vise Grip,Bubble Beam,4,4,3,50000
Seadra,53.1,117,water,none,132.6,114.5,111,1685540,27,Dragon Breath,Hydro Pump,Blizzard,25,25,3,50000
Ferroseed,53,597,grass,steel,81.5,142.9,119,1385595,50,Tackle,Iron Head,Flash Cannon,17,24,3,75000
Throh,52.6,538,fighting,none,110.3,107.8,170,2020070,21.5,Low Kick,Body Slam,Focus Blast,7,15,5,75000
Accelgor,52.4,617,bug,none,143.2,84.3,129,1556853,22.5,Infestation,Bug Buzz,Acid Spray,5,4,3,50000
Axew,52.4,610,dragon,none,139.5,95.2,121,1607281,49,Scratch,Dragon Claw,Aqua Tail,18,18,5,75000
Anorith (Shadow),52,347,rock,bug,147,92.1,113,1529912,43.5,Struggle Bug,Ancient Power,Cross Poison,6,5,3,50000
Meltan,51.5,808,steel,none,111.8,95.8,121,1295420,50,Thunder Shock,Thunderbolt,Flash Cannon,7,8,20,100000
Audino,51.1,531,normal,none,92.6,138.1,189,2416540,39,Zen Headbutt,Disarming Voice,Hyper Beam,8,14,3,50000
Cherrim (Overcast),51.1,421,grass,none,122.9,115.2,129,1826290,27,Bullet Seed,Solar Beam,Dazzling Gleam,7,6,1,10000
Ponyta (Galarian),51,77,psychic,none,134.8,109.4,113,1666179,36.5,Psycho Cut,Play Rough,Psybeam,7,7,3,50000
Pineco,50.8,204,bug,none,103.4,115.1,127,1511117,50,Bug Bite,Rock Tomb,Return,20,24,5,75000
Deoxys (Speed),50.4,386,psychic,none,140.8,131.6,86,1592886,18.5,Charge Beam,Psycho Boost,Thunderbolt,4,5,20,100000
Tentacool,49.6,72,water,poison,94.1,137.8,113,1465578,50,Bubble,Wrap,Bubble Beam,5,4,3,50000
Anorith,49.5,347,rock,bug,147,92.1,113,1529912,43.5,Struggle Bug,Ancient Power,Cross Poison,6,5,3,50000
Corphish,49.2,341,water,none,131.1,95.8,117,1469211,50,Bubble,Aqua Jet,Vise Grip,5,4,3,50000
Kadabra,48.1,64,psychic,none,163.7,90.1,92,1356485,26.5,Psycho Cut,Shadow Ball,Return,7,8,3,50000
Timburr,48.1,532,fighting,none,125.2,85.7,164,1759945,50,Low Kick,Brick Break,Rock Tomb,7,12,5,75000
Duosion,43.7,578,psychic,none,149.2,82.7,121,1492507,27.5,Hidden Power (Psychic),Psyshock,Thunder,6,8,3,50000
Solosis,43.7,577,psychic,none,152.9,79.8,120,1465025,50,Hidden Power (Psychic),Psyshock,Thunder,6,8,3,50000
Reuniclus,43,579,psychic,none,127.6,93.7,147,1756073,18.5,Hidden Power (Fighting),Shadow Ball,Future Sight,7,9,3,50000
Munna,42.9,517,psychic,none,105.9,89.9,166,1580270,50,Charge Beam,Psyshock,Dazzling Gleam,5,7,3,50000
Clefairy,41.9,35,fairy,none,102.5,103.4,157,1663540,50,Zen Headbutt,Body Slam,Disarming Voice,6,8,1,10000
Mienfoo,41,619,fighting,none,143.6,93.8,116,1563337,48,Low Kick,Brick Break,Focus Blast,7,15,3,50000
Spoink,40.9,325,psychic,none,117.6,115.1,140,1896031,50,Zen Headbutt,Shadow Ball,Mirror Coat,10,10,1,10000
Unown,39.4,201,psychic,none,126.9,89.1,125,1412738,50,Hidden Power (Psychic),Struggle,,13,0,5,75000
Shaymin (Land),37.2,492,grass,none,117.9,122.3,131,1888054,17,Zen Headbutt,Grass Knot,Seed Flare,9,13,20,100000
Slaking,27.9,289,normal,none,139.3,83.6,138,1607595,12.5,Yawn,Body Slam,Earthquake,3,6,5,75000
